,0
780,GO:0003855
781,GO:0016836
782,GO:0003856
783,GO:0016838
784,GO:0003861
785,GO:0003864
786,GO:0016742
787,GO:0003866
788,GO:0008483
789,GO:0008172
790,GO:0016799
791,GO:0003879
792,GO:0003883
793,GO:0016879
794,GO:0003887
795,GO:0034061
796,GO:0034062
797,GO:0003906
798,GO:0003909
799,GO:0016886
800,GO:0003911
801,GO:0016779
802,GO:0016830
803,GO:0003916
804,GO:0016657
805,GO:0003922
806,GO:0016884
807,GO:0004197
808,GO:0003924
809,GO:0003933
810,GO:0019238
811,GO:0003934
812,GO:0016841
813,GO:0003949
814,GO:0016861
815,GO:0003951
816,GO:0003954
817,GO:0016651
818,GO:0016655
819,GO:0015078
820,GO:0003968
821,GO:0016857
822,GO:0003977
823,GO:0070569
824,GO:0016744
825,GO:0016405
826,GO:0016878
827,GO:0003989
828,GO:0016421
829,GO:0003991
830,GO:0016774
831,GO:0016818
832,GO:0003999
833,GO:0019206
834,GO:0016849
835,GO:0004017
836,GO:0050145
837,GO:0004019
838,GO:0016413
839,GO:0016813
840,GO:0016812
841,GO:0008080
842,GO:0004045
843,GO:0008168
844,GO:0004048
845,GO:0016833
846,GO:0016775
847,GO:0019202
848,GO:0004055
849,GO:0004056
850,GO:0004070
851,GO:0016743
852,GO:0004076
853,GO:0016783
854,GO:0016868
855,GO:0004096
856,GO:0004601
857,GO:0070567
858,GO:0016866
859,GO:0004107
860,GO:0008081
861,GO:0016846
862,GO:0004127
863,GO:0004129
864,GO:0009055
865,GO:0015002
866,GO:0016676
867,GO:0016832
868,GO:0016882
869,GO:0016668
870,GO:0004152
871,GO:0016635
872,GO:0004160
873,GO:0004170
874,GO:0047429
875,GO:0008374
876,GO:0004175
877,GO:0070011
878,GO:0016887
879,GO:0004177
880,GO:0008238
881,GO:0004180
882,GO:0008235
883,GO:0004190
884,GO:0070001
885,GO:0008234
886,GO:0004222
887,GO:0008237
888,GO:0004252
889,GO:0008236
890,GO:0004298
891,GO:0070003
892,GO:0004311
893,GO:0004312
894,GO:0016747
895,GO:0004315
896,GO:0004317
897,GO:0019171
898,GO:0004325
899,GO:0016829
900,GO:0016881
901,GO:0019200
902,GO:0015926
903,GO:0016614
904,GO:0004347
905,GO:0004350
906,GO:0004359
907,GO:0016209
908,GO:0004367
909,GO:0047952
910,GO:0004372
911,GO:0004375
912,GO:0016642
913,GO:0016410
914,GO:0004400
915,GO:0016790
916,GO:0004424
917,GO:0004455
918,GO:0016615
919,GO:0004477
920,GO:0004478
921,GO:0004479
922,GO:0008171
923,GO:0004486
924,GO:0004488
925,GO:0016854
926,GO:0004497
927,GO:0004518
928,GO:0016788
929,GO:0004519
930,GO:0004536
931,GO:0004521
932,GO:0004523
933,GO:0016891
934,GO:0004525
935,GO:0032296
936,GO:0004526
937,GO:0004527
938,GO:0004529
939,GO:0016888
940,GO:0016889
941,GO:0004532
942,GO:0008409
943,GO:0004550
944,GO:0019205
945,GO:0016798
946,GO:0046527
947,GO:0004590
948,GO:0004592
949,GO:0004594
950,GO:0004595
951,GO:0016684
952,GO:0016671
953,GO:0004611
954,GO:0004618
955,GO:0004619
956,GO:0004620
957,GO:0016298
958,GO:0004623
959,GO:0004634
960,GO:0004639
961,GO:0004642
962,GO:0004652
963,GO:0004654
964,GO:0016645
965,GO:0016860
966,GO:0004672
967,GO:0004674
968,GO:0019199
969,GO:0045182
970,GO:0030234
971,GO:0004713
972,GO:0004721
973,GO:0004722
974,GO:0004725
975,GO:0004731
976,GO:0016885
977,GO:0016903
978,GO:0004764
979,GO:0004765
980,GO:0004774
981,GO:0004775
982,GO:0015036
983,GO:0004798
984,GO:0042083
985,GO:0019203
986,GO:0004807
987,GO:0008175
988,GO:0016423
989,GO:0004810
990,GO:1990817
991,GO:0004812
992,GO:0016875
993,GO:0004813
994,GO:0004814
995,GO:0004815
996,GO:0004817
997,GO:0004818
998,GO:0004820
999,GO:0004821
1000,GO:0004822
1001,GO:0004823
1002,GO:0004824
1003,GO:0004826
1004,GO:0004827
1005,GO:0004828
1006,GO:0004829
1007,GO:0004831
1008,GO:0004834
1009,GO:0004842
1010,GO:0019787
1011,GO:0004843
1012,GO:0036459
1013,GO:0004845
1014,GO:0004853
1015,GO:0016726
1016,GO:0004857
1017,GO:0019887
1018,GO:0019888
1019,GO:0004866
1020,GO:0030414
1021,GO:0061135
1022,GO:0004867
1023,GO:0140375
1024,GO:0099094
1025,GO:0022843
1026,GO:0004984
1027,GO:0043021
1028,GO:0019900
1029,GO:0019901
1030,GO:0005085
1031,GO:0051020
1032,GO:0098772
1033,GO:0017016
1034,GO:0017048
1035,GO:0030695
